Id,Time,Action_Freq,Url_Freq,Email_Freq,Attach,FSize,Class
{A0B0-M9AW42XP-7395SLMY},488,0.01998002,0.010989011,0.011011011,0.070342205,1,N
{A100-T2PX71WE-3984YLKJ},900,0.060939061,0.015984016,0.016016016,0.085551331,1,Y
{A1F0-H8GQ18JK-9092MCXE},468,0.00999001,0.005994006,0.006006006,0.007604563,1,N
{A1J8-U4PJ70LP-4977AFHT},482,0.00999001,0,0,0.01774398,1,N
{A1N7-R0EE04SC-8647DLGP},574,0.027972028,0.011988012,0.012012012,0.057667934,1,Y
{A1Y4-D5CK93QK-8245XWAI},437,0.005994006,0.007992008,0.008008008,0.002534854,1,N
{A2X8-M1CO01ZX-4186NXLN},667,0.028971029,0.006993007,0.007007007,0.095057034,1,Y
{A4M8-G7NR31YZ-7758RQRD},954,0.000999001,0,0,0,0,N
{A4R1-Y6NI95SH-1531VBPG},101,0.000999001,0,0,0,0,N
{A4S2-F8IV39PU-0854TBHM},227,0.000999001,0,0,0,0,N
{A4W3-H5NU91WY-5961XHUR},246,0.000999001,0,0,0,0,N
{A5Q3-C0DQ03JS-4346FDFI},371,0.000999001,0,0,0,0,N
{A5T5-M9ZR50IK-9482PCAC},967,0.000999001,0,0,0,0,N
{A6N5-K0EE02YR-3113GVCR},192,0.000999001,0,0,0,0,N
{A7W2-A6BT05YS-2364GETB},465,0.000999001,0,0,0,0,N
{A9C9-I8ZF12WP-1316UOIL},258,0.000999001,0,0,0,0,N
{A9G7-Y3JR64DM-6115PYXI},384,0.000999001,0,0,0,0,N
{A9I0-J2DC47PC-5132ZREF},980,0.000999001,0,0,0,0,N
{A9M3-S0RM66LD-4336QZTF},353,0.000999001,0,0,0,0,N
{A9V9-M6TY16CH-0698XEIQ},948,0.000999001,0,0,0,0,N
{A9W7-Z7OO54QE-4312DUHG},174,0.000999001,0,0,0,0,N
{A9Y0-Z7GB10QG-4420QTUK},447,0.000999001,0,0,0,0,N
{AOW6-POZB86F-0757WVMS},482,0.00999001,0,0,0.024714829,1,N
{B0H7-J4DR34NN-4855XYIF},240,0.000999001,0,0,0,0,N
{B1C7-Z6XC76KV-6067MGOA},365,0.000999001,0,0,0,0,N
{B1F6-Q3QQ10DK-0433PXKN},638,0.000999001,0,0,0,0,N
{B1H2-H5KF25FM-7868FKSY},334,0.000999001,0,0,0,0,N
{B1O3-V3XP85KK-5018XNBA},930,0.000999001,0,0,0,0,N
{B1O6-M3MI98PE-8842JZVZ},155,0.000999001,0,0,0,0,N
{B1P9-Y6SV78FV-9413TLSF},751,0.000999001,0,0,0,0,N
{B2B9-Y8XO87SG-3822BJDX},124,0.000999001,0,0,0,0,N
{B2E8-X1FY35HZ-0693JZEJ},249,0.000999001,0,0,0,0,N
{B2G6-P1EL81LY-1607ESVS},522,0.000999001,0,0,0,0,N
{B2N8-N5IB16XO-3194NFTI},218,0.000999001,0,0,0,0,N
{B2O8-C9BH53DY-7419PQXD},814,0.000999001,0,0,0,0,N
{B2R4-O6SK68WU-5301IHLH},939,0.000999001,0,0,0,0,N
{B2T9-U5CU17PV-0677HRRE},312,0.000999001,0,0,0,0,N
{B3H9-W8BN79OJ-7914VNCA},908,0.000999001,0,0,0,0,N
{B3K8-M7BZ71MZ-0488KCTJ},281,0.000999001,0,0,0,0,N
{B3U0-S3EH07DL-9967NJSQ},877,0.000999001,0,0,0,0,N
{B3Y0-K8LF21IQ-8501NHFB},250,0.000999001,0,0,0,0,N
{B4D8-M4ZA60QC-1792WXEC},375,0.000999001,0,0,0,0,N
{B4F7-Z2JR24FX-8187IPNQ},971,0.000999001,0,0,0,0,N
{B4X5-Y7ZL36OB-0059OTQR},344,0.000999001,0,0,0,0,N
{B5G7-P7ZE26DQ-2527ASFO},469,0.000999001,0,0,0,0,N
{B5N4-M7AP22CV-0470KIVL},165,0.000999001,0,0,0,0,N
{B6I3-C8CL50LY-4822JONS},438,0.000999001,0,0,0,0,N
{B6M3-Z3QW28OU-9420GHDR},134,0.000999001,0,0,0,0,N
{B6M4-V4HH32QW-0058SBXA},407,0.000999001,0,0,0,0,N
{B6N9-T6DL72GT-4623TDXO},532,0.000999001,0,0,0,0,N
{B6R6-I7FG48LR-0729PHSA},228,0.000999001,0,0,0,0,N
{B6U7-C1CA40EK-9560XLEZ},501,0.000999001,0,0,0,0,N
{B6W7-T4OY30TH-7442KRWV},197,0.000999001,0,0,0,0,N
{B6Z5-H3EX44BW-6279KICR},322,0.000999001,0,0,0,0,N
{B7R8-J6AK96MA-3807ZWKU},595,0.000999001,0,0,0,0,N
{B7S1-S0LI22FU-1967TPSF},291,0.000999001,0,0,0,0,N
{C1M3-P0VB20XT-5027GEBV},915,0.000999001,0,0,0,0,N
{C1R2-E9XH34AB-9741XVYP},611,0.000999001,0,0,0,0,N
{C1U6-V5CR20ZC-2025CVHE},306,0.000999001,0,0,0,0,N
{C2B1-P2ZY13GI-4476IOKO},579,0.000999001,0,0,0,0,N
{C2M4-U6KQ24IQ-9892JZQM},705,0.000999001,0,0,0,0,N
{C2O3-U5HS54KC-7571BEMQ},978,0.000999001,0,0,0,0,N
{C2O7-D2AH20BT-1825WPGZ},674,0.000999001,0,0,0,0,N
{C2U9-P2YW45TP-1847CJPG},946,0.000999001,0,0,0,0,N
{C2Z8-L6OO03IR-4307ZFWH},172,0.000999001,0,0,0,0,N
{C3F2-P5QA22CT-5098QWSS},768,0.000999001,0,0,0,0,N
{C3H3-B9PL13OJ-5835BMBC},141,0.000999001,0,0,0,0,N
{C3I1-H8XT79FQ-6238TSQB},736,0.000999001,0,0,0,0,N
{C3J1-C7WY49RR-6725VTEW},862,0.000999001,0,0,0,0,N
{C3P6-D8DX13WM-5026OJWO},235,0.000999001,0,0,0,0,N
{C3U0-U0NU38YH-6400GFCF},831,0.000999001,0,0,0,0,N
{C3X5-J3WJ45GA-2181QUOV},203,0.000999001,0,0,0,0,N
{C4A9-G8ZE43SQ-5248LYYI},799,0.000999001,0,0,0,0,N
{C4E8-X2AF03VI-6347DALD},925,0.000999001,0,0,0,0,N
{C4F7-B2UB98EZ-3617IZJE},796,0.000999001,0,0,0,0,N
{C5Q2-L8EC28SS-0372EEWV},169,0.000999001,0,0,0,0,N
{C6F5-E9BP83VE-2261VSTA},765,0.000999001,0,0,0,0,N
{C6L9-J8YD66RG-0947LXLN},890,0.000999001,0,0,0,0,N
{C6P7-U1CN10KS-1087BQAE},586,0.000999001,0,0,0,0,N
{C6T2-T1IZ27SS-6456TDSQ},859,0.000999001,0,0,0,0,N
{C7A8-Q4MR75QL-0786XWKK},555,0.000999001,0,0,0,0,N
{C7M0-E3KO19SC-7551WWLY},103,0.000999001,0,0,0,0,N
{C7Q1-N5XD26SC-6713POON},376,0.000999001,0,0,0,0,N
{C7Q9-H5YG32GS-6055GYMU},502,0.000999001,0,0,0,0,N
{C7Z9-Z4WG65KP-1293PTGH},198,0.000999001,0,0,0,0,N
{C8E8-H2QK17DV-6658ZWMJ},793,0.000999001,0,0,0,0,N
{D5P2-C0AR66HU-0090LVUI},919,0.000999001,0,0,0,0,N
{D5Q5-V4AT87FA-7938GXNQ},292,0.000999001,0,0,0,0,N
{D5R4-V6XE37BH-9052GCNN},888,0.000999001,0,0,0,0,N
{D6C9-M6KY00SR-0484WZFI},583,0.000999001,0,0,0,0,N
{D6J5-K9DG08EX-5659OQKP},709,0.000999001,0,0,0,0,N
{D6S6-L9WC97XZ-8675TWRK},405,0.000999001,0,0,0,0,N
{D6U8-F3ZB05SS-8265BNVN},530,0.000999001,0,0,0,0,N
{D7B9-S1MA06FR-1458WUNB},226,0.000999001,0,0,0,0,N
{D7D3-B2HV29GL-8847UZRV},822,0.000999001,0,0,0,0,N
{D7Z3-U9QU85KO-0980NTUL},947,0.000999001,0,0,0,0,N
{D8A3-W4LL38WS-0516RYQO},966,0.000999001,0,0,0,0,N
{D8E4-L9GB26HS-3480EQXH},192,0.000999001,0,0,0,0,N
{D8F6-B8WM02OU-9720NGXL},787,0.000999001,0,0,0,0,N
{D8G6-W4VT17FF-5711HUFP},913,0.000999001,0,0,0,0,N
{D8I4-G1SK54PC-5801ZYWL},932,0.000999001,0,0,0,0,N
{D8M1-G1MW09PI-2746LHBI},157,0.000999001,0,0,0,0,N
{D8M9-C1FW96BU-8436ANOJ},526,0.007992008,0.005994006,0.006006006,0.007604563,1,Y
{D8O2-A0IV07JA-5388DQPD},527,0.000999001,0,0,0,0,N
{D8P4-Y0UN70FN-5962ZFNI},223,0.000999001,0,0,0,0,N
{D8P8-B1HA24QC-8572KPOX},349,0.000999001,0,0,0,0,N
{D8S8-A2GR03EC-5925PZCD},622,0.000999001,0,0,0,0,N
{D8Y9-W3QI00ZY-7158DRDC},317,0.000999001,0,0,0,0,N
{D9B3-V9KX85JS-4823SNSP},590,0.000999001,0,0,0,0,N
{D9C5-X3RB60OZ-9159PUHG},286,0.000999001,0,0,0,0,N
{D9D8-C5SC22YA-0466ILXU},559,0.000999001,0,0,0,0,N
{D9E5-B1DM68BA-0594KCZD},684,0.000999001,0,0,0,0,N
{D9E7-T0NO02AU-3056NMGL},380,0.000999001,0,0,0,0,N
{D9G3-R3VY41ZC-4223YWCR},653,0.000999001,0,0,0,0,N
{E2R7-U0UP23DB-9083TYSU},415,0.007992008,0.004995005,0.005005005,0.005069708,1,N
{E4D5-T8SH33PE-2774EOUH},876,0.000999001,0,0,0,0,N
{E4H0-J2KD38CS-6797EPTY},249,0.000999001,0,0,0,0,N
{E4S1-X4DQ03UE-4863ZOFA},844,0.000999001,0,0,0,0,N
{E4U2-V1NW72OL-3520PWQX},217,0.000999001,0,0,0,0,N
{E4U8-H2HH73KT-5072XIHG},343,0.000999001,0,0,0,0,N
{E4Y1-F8GJ72SP-7841IMTU},939,0.000999001,0,0,0,0,N
{E4Z8-P3IU18AV-3791XEBJ},311,0.000999001,0,0,0,0,N
{E5C1-K9JR90FK-5730ESRK},907,0.000999001,0,0,0,0,N
{E5D5-A4AK93DU-7171SVFI},280,0.000999001,0,0,0,0,N
{E5L2-B9KS84EF-4946MDYW},406,0.000999001,0,0,0,0,N
{E6A6-N8NI51FM-3806OEZZ},679,0.000999001,0,0,0,0,N
{E6F0-V9PQ36MV-1271VGJB},374,0.000999001,0,0,0,0,N
{E6G7-K3YF99OG-9254PXHC},647,0.000999001,0,0,0,0,N
{E6I7-X0EV06TU-6747UIQF},343,0.000999001,0,0,0,0,N
{E6M8-M9HI18KH-0140GSEG},469,0.000999001,0,0,0,0,N
{E6S4-D1QY42GE-1055ISKI},465,0.005994006,0.004995005,0.005005005,0.000633714,1,N
{E6T7-U2ZG88UB-9574FJUJ},839,0.000999001,0,0,0,0,N
{E6Y9-Z5QA56LX-9748ZSOT},211,0.000999001,0,0,0,0,N
{E7F2-T2CO90UB-0587QUUT},807,0.000999001,0,0,0,0,N
{E7I1-P2SO64BW-5719FTKM},180,0.000999001,0,0,0,0,N
{E7N6-M7JC01KJ-5874KZQB},453,0.000999001,0,0,0,0,N
{E7W6-D7PZ16CT-2698FENB},578,0.000999001,0,0,0,0,N
{E8A9-G1YZ90RE-7059WIMT},274,0.000999001,0,0,0,0,N
{E8E4-V4CU09PO-9336LQFL},547,0.000999001,0,0,0,0,N
{E8I0-C5ZZ74TP-2007XWZM},673,0.000999001,0,0,0,0,N
{E8Q8-R4ND71SB-7667PUPQ},945,0.000999001,0,0,0,0,N
{E8R7-T5QD10QH-6169CPWI},641,0.000999001,0,0,0,0,N
{E9A2-Y8VD74BC-1354DHZD},914,0.000999001,0,0,0,0,N
{E9B9-V1YP72MQ-2304KVCM},610,0.000999001,0,0,0,0,N
{E9D6-M3NH33TA-7720BSFX},735,0.000999001,0,0,0,0,N
{E9O3-C9AC31ZE-1531VUBB},108,0.000999001,0,0,0,0,N
{E9P2-X7EG92EJ-7260ZWXZ},704,0.000999001,0,0,0,0,N
{E9P6-Q5RN77NT-8030AHYH},977,0.000999001,0,0,0,0,N
{E9Z8-W5CC42FE-7143PABY},350,0.000999001,0,0,0,0,N
{F0D6-F1ZE60DC-9821EJCR},946,0.000999001,0,0,0,0,N
{F0E3-F9JF62DD-3931ENCG},318,0.000999001,0,0,0,0,N
{F0F7-N1HH96MP-0668VODB},444,0.000999001,0,0,0,0,N
{F0K8-D1CM62HA-5244DQXT},140,0.000999001,0,0,0,0,N
{F0M2-J9YA91CK-3619BGEH},413,0.000999001,0,0,0,0,N
{F0M8-B6ZP86SA-2104RLJW},538,0.000999001,0,0,0,0,N
{F3V0-Y2AQ51SB-1806FCKY},811,0.000999001,0,0,0,0,N
{F3Y5-U3GW32JE-1468QKNI},507,0.000999001,0,0,0,0,N
{F4B1-B8OM22IK-7986DNOG},780,0.000999001,0,0,0,0,N
{F4D5-L7AN87BS-4387WHOI},153,0.000999001,0,0,0,0,N
{F4H4-F9KA52IQ-9685LPIR},748,0.000999001,0,0,0,0,N
{F5V3-Y0EV30FR-8626NFIK},874,0.000999001,0,0,0,0,N
{F7N2-I4MV94KZ-5924FGNF},168,0.000999001,0,0,0,0,N
{F7U4-R8PJ16PH-6015IZZK},617,0.000999001,0,0,0,0,N
{F7U6-K8HG25DG-4483RJFY},890,0.000999001,0,0,0,0,N
{F7U8-I9PX83EQ-1348USMO},585,0.000999001,0,0,0,0,N
{F7Y2-X1QR87TP-4921HNFK},858,0.000999001,0,0,0,0,N
{F8A4-N2ZV26EB-2160HPJY},984,0.000999001,0,0,0,0,N
{F8C8-U1WM48JI-9355PVIG},680,0.000999001,0,0,0,0,N
